date,Device category,Gender,Age,City,Kanal ID,Article ID,Total users,Views,categoryauto_new_rank1
20250727,desktop,male,45-54,Jakarta,(not set),(not set),157,2198,
20250727,desktop,male,45-54,Jakarta,1-1-1900,,98,1610,
20250727,desktop,female,18-24,Jakarta,2-12-39,651904,62,73,
20250727,desktop,female,45-54,Jakarta,(not set),(not set),57,631,
20250727,desktop,male,18-24,Jakarta,2-12-39,651904,47,54,
20250727,desktop,male,45-54,Jakarta,2-12-39,651904,47,58,
20250727,desktop,male,25-34,Jakarta,(not set),(not set),43,1074,
20250727,desktop,male,45-54,Jakarta,2-5-19,652186,38,50,
20250727,desktop,male,18-24,Jakarta,(not set),(not set),37,156,
20250727,desktop,female,45-54,Jakarta,1-1-1900,,35,297,
20250727,desktop,female,18-24,Jakarta,(not set),(not set),33,271,
20250727,desktop,male,45-54,Jakarta,2-3-2004,652390,33,35,
20250727,desktop,female,25-34,Jakarta,(not set),(not set),32,1061,
20250727,desktop,male,45-54,Jakarta,,,31,64,
20250727,desktop,male,45-54,Jakarta,2-3-2008,649007,30,31,
20250727,desktop,male,45-54,Jakarta,2-5-17,652429,30,30,
20250727,desktop,female,25-34,Jakarta,2-12-39,651904,29,34,
20250727,desktop,male,45-54,Jakarta,2-3-2008,652367,29,36,
20250727,desktop,male,45-54,Jakarta,2-5-19,652288,27,30,
20250727,desktop,female,45-54,Jakarta,2-12-39,651904,26,30,
20250727,desktop,male,45-54,Medan,(not set),(not set),25,213,
20250727,desktop,male,45-54,Jakarta,2-9-25,651875,24,26,
20250727,desktop,male,45-54,Surabaya,(not set),(not set),24,245,
20250727,desktop,male,18-24,Jakarta,,,23,28,
20250727,desktop,male,45-54,South Tangerang,(not set),(not set),23,687,
20250727,desktop,female,18-24,Bandung,2-12-39,651904,22,23,
20250727,desktop,male,25-34,Jakarta,2-12-39,651904,22,25,
20250727,desktop,male,45-54,Jakarta,2-5-17,652461,22,23,
20250727,desktop,male,45-54,Jakarta,2-5-19,648921,22,23,
20250727,desktop,female,18-24,Jakarta,,,21,94,
20250727,desktop,male,45-54,Jakarta,2-11-35,652337,21,24,
20250727,desktop,female,18-24,Jakarta,1-1-1900,,20,199,
20250727,desktop,female,18-24,Surabaya,2-12-39,651904,20,25,
20250727,desktop,male,25-34,Jakarta,1-1-1900,,20,152,
20250727,desktop,male,25-34,Jakarta,2-5-19,652186,20,29,
20250727,desktop,male,45-54,Bandung,(not set),(not set),20,141,
20250727,desktop,male,45-54,Jakarta,2-11-35,652559,20,24,
20250727,desktop,male,45-54,Jakarta,2-3-2004,652479,20,25,
20250727,desktop,female,18-24,Jakarta,2-11-35,652559,19,24,
20250727,desktop,male,45-54,Jakarta,2-127-128,652510,19,19,
20250727,desktop,male,45-54,Tangerang,(not set),(not set),19,89,
20250727,desktop,female,18-24,Semarang,2-12-39,651904,18,20,
20250727,desktop,male,35-44,Jakarta,(not set),(not set),18,178,
20250727,desktop,female,18-24,Jakarta,2-11-35,652337,17,20,
20250727,desktop,female,18-24,Depok,2-12-39,651904,16,17,
20250727,desktop,male,45-54,Jakarta,2-12-37,652208,16,19,
20250727,desktop,female,18-24,Jakarta,2-5-19,652186,15,18,
20250727,desktop,female,25-34,Jakarta,1-1-1900,,15,318,
20250727,desktop,male,45-54,Bandung,2-12-39,651904,15,18,
20250727,desktop,male,45-54,South Tangerang,1-1-1900,,15,376,
20250727,desktop,female,18-24,Medan,2-12-39,651904,14,18,
20250727,desktop,male,18-24,Bandung,2-12-39,651904,14,14,
20250727,desktop,male,18-24,Jakarta,2-3-2008,652117,14,16,
20250727,desktop,male,25-34,Jakarta,2-3-2004,652390,14,15,
20250727,desktop,male,35-44,Jakarta,1-1-1900,,14,149,
20250727,desktop,female,25-34,Jakarta,2-5-19,652186,13,17,
20250727,desktop,male,18-24,Jakarta,1-1-1900,,13,41,
20250727,desktop,male,18-24,Jakarta,2-12-37,652528,13,14,
20250727,desktop,male,18-24,Jakarta,2-5-19,652186,13,13,
20250727,desktop,male,25-34,Jakarta,2-3-2008,649007,13,14,
20250727,desktop,male,25-34,Jakarta,2-5,,13,613,
20250727,desktop,male,45-54,Bekasi Regency,(not set),(not set),13,383,
20250727,desktop,male,45-54,Jakarta,2-12-39,649883,13,14,
20250727,desktop,male,45-54,Jakarta,2-3-2004,652387,13,16,
20250727,desktop,male,45-54,Jakarta,2-3-2008,652293,13,14,
20250727,desktop,male,45-54,Jakarta,2-3-2008,652588,13,13,
20250727,desktop,male,45-54,Jakarta,2-5-17,652454,13,15,
20250727,desktop,male,45-54,Jakarta,2-9-25,652511,13,14,
20250727,desktop,male,45-54,Medan,1-1-1900,,13,188,
20250727,desktop,male,45-54,Semarang,(not set),(not set),13,54,
20250727,desktop,male,45-54,Surabaya,1-1-1900,,13,205,
20250727,desktop,male,45-54,Surakarta,2-9-25,651875,13,14,
20250727,desktop,female,25-34,Jakarta,2-11-35,652559,12,13,
20250727,desktop,female,45-54,Jakarta,2-11-35,652337,12,13,
20250727,desktop,female,45-54,Jakarta,2-11-35,652559,12,15,
20250727,desktop,female,45-54,Jakarta,2-5-17,652461,12,12,
20250727,desktop,male,45-54,Bekasi,(not set),(not set),12,71,
20250727,desktop,male,45-54,Depok,(not set),(not set),12,42,
20250727,desktop,male,45-54,Jakarta,2-12-39,635292,12,16,
20250727,desktop,male,45-54,Jakarta,2-5,,12,132,
20250727,desktop,male,45-54,Medan,2-3-2004,652390,12,12,
